Şəhər,Market,Marka,Model,Buraxılış ili,Ban növü,Rəng,Fuel_type,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,New,Seats,Sahiblər,Vəziyyəti,Seller,Seller comment,Price,ImageUrl
Bakı,Volt Avto,BYD,Song Plus,2022,Offroader / SUV,Ağ,,1.5 L/177 a.g./Plug-in Hibrid,0 km,Avtomat,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,,30 900 USD,https://turbo.azstatic.com/uploads/full/2024%2F01%2F29%2F14%2F07%2F58%2Ff8ed1914-a8c9-42b9-9d7d-1b05ec39ae2c%2F3714_fI1-vCzg_J239TyJMy8IyA.jpg
Bakı,Olimp,Hyundai,Equus,2011,Sedan,Qara,,4.6 L/385 a.g./Benzin,190 000 km,Avtomat,Arxa,,,,"Vuruğu yoxdur, rənglənməyib",,"Cox ideal prmium sinif avtomobildi
Rasmi dillerdan alinib
Hecbif xerc teleb etmir
bu vaxta qadar premium yanacaqla istifade olunub
Sinifinin an full versiyasidi
Arxada soyuducusu var
Butun texniki xidmatlari servisde hayata kecirilib",25 000 AZN,https://turbo.azstatic.com/uploads/full/2024%2F01%2F17%2F18%2F44%2F30%2F88eede38-b38f-41e2-99f9-e30e918628c0%2F56339_ibZkPzFYYM_7NmDz2SMMHQ.jpg
Gəncə,,Land Rover,Range Rover,2008,Offroader / SUV,Qara,,4.2 L/396 a.g./Benzin,255 707 km,Avtomat,Tam,,,,"Vuruğu yoxdur, rənglənməyib",Rasad,avto ideal veziyyetde . tekerler teze mator karobka ela . salon cox seliqeli ve temiz . hec bir xerc teleb etmir . oz adimadi wexsi mawinimdi,21 500 USD,https://turbo.azstatic.com/uploads/full/2024%2F01%2F20%2F15%2F09%2F25%2F832328cc-79a8-4438-96ad-aefa5fa9e762%2F3794_xSusfe7LywOpcEl6DJ5SDg.jpg
Sumqayıt,,Mazda,CX-5,2018,Offroader / SUV,Yaş Asfalt,,2.5 L/194 a.g./Benzin,97 000 km,Avtomat,Tam,,,1,"Vuruğu yoxdur, rənglənməyib",Ramil,Təcili satılır.Full komplektasiya.servizden 2019da alinib.sened 2018.reng deyen yeri yoxdur.ideal veziyyetde.resmi dillerde qullug olunur bugune kimi.masin tranzit olunub verilecek.nomresiz satilir.barter 10-15min manat masinnan elemek olar.,41 000 AZN,https://turbo.azstatic.com/uploads/full/2023%2F11%2F29%2F15%2F15%2F02%2Fbba1b60c-311e-4810-9118-be4f10d3dcba%2F3763_It3DG1eKvVuSIjugurDMUQ.jpg
Bakı,,Hyundai,i30,2016,Sedan,Ağ,,1.6 L/136 a.g./Dizel,187 000 km,Avtomat,Ön,,,1,"Vuruğu yoxdur, rənglənməyib",Orxan,Özüm üçün gətirmişəm! Bez kraska vuruqsuz və arginal yürüş! 3 qat palirovka 2 qat keramika olunub(su toz saxlamır) 4 ədəd təzə təkər! 3 min manatlıq aparatura(səs sistemi) Reis audio Apocalipsis.,26 500 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F08%2F13%2F59%2F38%2Fd0534922-68bb-4d16-9c74-93dbd0ab5b1b%2F3805_DcJJHWItt6xsNBXeHB06WQ.jpg
Bakı,,Kia,Cerato,2015,Sedan,Ağ,,1.8 L/149 a.g./Benzin,130 000 km,Avtomat,Ön,,,,"Vuruğu yoxdur, rənglənməyib",Elçin,"Maşın 3 gündür Gömrük olunub.
Maşın Xodlanır, Hərəkət edir.
Maşında heçbir problem yoxdur.
2 detalənda Yüngül kosmetik işləri var.
Və əlavə olaraq Katalizatoru yoxdur.
Başqa hər şeyi işlək və salamatdır.
Təkərləri yaxşıdır. Motor, Karobka yaxşıdır.
Təcili pul lazım olduğu üçün bu Qiymətə satılır .
Maşına Əhmədlidə Nargilə kafesinin Yanında baxmaq olar.",17 000 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F11%2F44%2F16%2F99b7fcf9-3ba6-43ad-95ee-5b0d3268a227%2F25213_SiBd49oyO522bgNt0kjr9g.jpg
Bakı,,Kia,Sorento,2015,Offroader / SUV,Qara,,2.0 L/184 a.g./Dizel,165 000 km,Avtomat,Ön,,,1,"Vuruğu yoxdur, rənglənməyib",Asef,"Avtomobil olkeye yeni gelib
Avtomobil sinifinin fuludu
BEZKRASQA
hal hazirda hec bir xerc teleb etmir,telerler yeni,Bahali monitor quraşdirilib,servisde qullug olunub, yuruş 100% original
Qiymetde cuzi endirim olacaq
Alverler nafahat etmesin
Kredit ile komek ede bilerem",37 500 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F05%2F15%2F52%2F35%2F735ddf6e-5e43-4357-930b-6f528fa162e2%2F3763_K9O8ziL0xD2TsSWcZhQuCg.jpg
Bakı,,Renault,Megane,2007,Universal,Qara,,1.5 L/105 a.g./Dizel,277 300 km,Mexaniki,Ön,,,2,"Vuruğu yoxdur, rənglənməyib",Samir,,9 800 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F09%2F15%2F45%2F30%2Fd4616e54-e41c-46a5-a0dd-7e967c2fe6a4%2F25257_-Am7gqAIwG_wFnChgmqx7w.jpg
Bakı,,BMW,528,2016,Sedan,Boz,,2.0 L/245 a.g./Benzin,74 998 km,Avtomat,Arxa,,,1,"Vuruğu yoxdur, rənglənməyib",Namiq,Mashin tam olarax idealdi M-tech sherde bucur F 10 bu prabeke tek tukdur harda istesez yoxladdira bilersiz hec bir prablemi yoxdu mashin tam olarax otur sur hec bir rasxod elemeden ideal mashin axtaranlar buyursunlar,24 900 USD,https://turbo.azstatic.com/uploads/full/2024%2F01%2F10%2F10%2F52%2F56%2F5530530c-0ddd-4277-b09d-06a49b771e42%2F88104_88FV24744XrWkygh9T9fiw.jpg
Bakı,,Toyota,Prius,2008,Liftbek,Gümüşü,,1.5 L/76 a.g./Hibrid,220 000 km,Avtomat,Ön,,,0,"Vuruğu yoxdur, rənglənməyib",Zaur,"NƏGD SATILMIR!!!!!Avtomobil yaxşı vəziyətdədir hec bir xərc tələb etmir,ABS,mator,batareykalar ideal vəziyətdədir,avtomobildə vurugdan udardan,pasdan söhbət gedə bilməz!!!İDepozit 600 AZN,günü 25AZN !Avtomobil servisdə yoxlanılıb sizə təhvil veriləcək!!!!Xahiş olunur citdi şəxslər narahat etsin!!!!!!!!",13 500 AZN,https://turbo.azstatic.com/uploads/full/2024%2F01%2F24%2F09%2F41%2F20%2Fe013b8b2-1862-4596-b812-3124fcc0320a%2F3771_UuOqAdZBbtgaIBkTOalikw.jpg
,,,,,,,,,,,,,,,,Vahid,"Masin bezkraska
Bezdetal masindi
Ideal veziyetdedi
Hec bir problemi yoxdur
Xerc teleb etmir
Masina 4 teker
4 diski teze alinib
Butun rasxodnikleri odenib
Real aliciya masinin yaninda endirim olunacag
Bos bos adamlar narahat etmesin
Kredit mumkundur",9 200 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F10%2F35%2F5cd0cf94-0106-46a3-951c-135eae5b6b67%2F88104_VWj4z7mtFtqsE_fs_LSjxA.jpg
Bakı,,Kia,Rio,2007,Hetçbek,Narıncı,,1.4 L/97 a.g./Benzin,191 000 km,Mexaniki,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,"Salam aleykum..!MASIN NEGD SATILMIR!Qalmaq werti ile arendaya verilir..!cox gozel wertler teklif edirik!!!
Wertler:
1)Ilkin odeniw 2500 azn 30 ay 500 azn
2)Ilkin odeniw 3500 azn 25 ay 450azn
3)Ilkin odeniw 4500 azn 20 ay 450 azn!!!!
Bawqa wert teklif etmein!!En munasib wertlerle satilir!!Avtomobil hecbir problemi yoxdur..zbor renglenib rengi solgun oldugu ucun..Bahali kraska vurulub,Palirovka olunub...Mator,karopka,xadavoy,tekerler tam saglamdir...!bu wertler 3 gun kecerlidi!!!",8 500 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F09%2F13%2F32%2F45%2F905fb002-6901-4eea-9e70-3255cc942bd8%2F3698_mUvxJQPE17XK5JjxjO-e-g.jpg
Bakı,,BMW,528,2016,Sedan,Ağ,,2.0 L/245 a.g./Benzin,97 000 km,Avtomat,Arxa,,,2,"Vuruğu yoxdur, rənglənməyib",Fazil,"Avtomobil tam ideal vəziyyətdədir və bütün təmiratlar və dəyişikliklər ödənilmişdir. Hər hansı bir problem yoxdur və motor, korobka, xodovoy elektronika kimi əsas hissələri tam funksional vəziyyetdir.
Udar yoxdur, kraska deyen yeri yoxdur.
Bu vəziyyətdə F10 avtomobilləri çətin tapılır.
İstənilən yerdə yoxlanıla bilər. Detallar orijinaldır.",23 000 USD,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F02%2F50%2Fee056bc1-ba01-4a2b-a322-b8059d1d55d1%2F3693_XIbaKzCqdG1QEZj-oS_mAw.jpg
Sumqayıt,,Opel,Astra,1999,Universal,Gümüşü,,1.6 L/101 a.g./Benzin,465 159 km,Mexaniki,Ön,,,2,"Vuruğu var, rənglənməyib",ilqar,SALAM ALEYKÜM maşın göründüyü kimidi sol yan terefden cızığı var 100 manat xerci var arxa balaban deyisilmelidi xercler nezerde tutulub ona gore qiymət yazılıb maşına baxmax istəyən Sumqayıtdadi istenilen yerde yoxlatira bileriy. Whatsaptanda yaza bilersiz,7 800 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F10%2F00%2Faddd140d-f5f6-4783-bacd-566d74bffb61%2F3696_8ODjfy4TkwopntRrf8-pfw.jpg
Bakı,,Toyota,Corolla,2014,Sedan,Qara,,1.8 L/136 a.g./Benzin,241 000 km,Avtomat,Ön,,,2,"Vuruğu yoxdur, rənglənməyib",,Salam masin hal hazirda islek vezyetdedi tecili satilir deye bu qiymete qoyulub,17 800 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F14%2F30%2F9cf2ed25-d9a6-44a5-b744-f870f2c00460%2F56305_T8HvhAM7x7HhJt2Pj0pENA.jpg
Bakı,,Toyota,Prado,2008,Offroader / SUV,Ağ,,4.0 L/249 a.g./Benzin,228 000 km,Avtomat,Tam,,,1,"Vuruğu yoxdur, rənglənməyib",Babək,Salam.Avtomobil 0-dan özümdə olub.Ölkəyə sifarişlə gətizdirmişəm.Rəng dəyən detalı yoxdur.4 ədəd yeni təkər.R 20 disklər sifarişlə üstündə gətizdirilib.Uzaq məsafədən pultla mühərrikin işə salınması mövcuddur.Sonradan quraşdırılmayıb!Salon səliqəli vəziyyətdədir.Soyuducusu var.Hər bir funksiyası işlək vəziyyətdədir.Heç bir xərc tələb etmir!Avtomobil tam dolu komplektasiyadır.,43 500 AZN,https://turbo.azstatic.com/uploads/full/2023%2F12%2F28%2F22%2F33%2F34%2F158f2fe1-b0e6-44a6-994b-e7f22225adb1%2F88099_6FXAKJ087gpN-VRQcRQ8gg.jpg
Bakı,,Skoda,Karoq,2020,Offroader / SUV,Ağ,,1.4 L/150 a.g./Benzin,34 800 km,Avtomat,Ön,,,2,"Vuruğu yoxdur, rənglənməyib",Fərid,"Şkoda Servis Bakidan 2021 Avgust ayinda alinib. 2024 Avgusta gədər garantisi var. Rənglənməyib. İdeal vəziyətdə. Çexiya istehsalidi (Rusiya yox). FULL. Böyük monitor (bluetooth), LED fara,baqajin düymə va ayaq jesti ilə
açilib baglanmasi, tam panorama açilan lyuk. Çox dözümlu 1,4 Turbo Volkswagen motor, 8-pilləli sadə Aisin (Japon) avtomat. Start-stop sistemi. R18 zavod diskler. Arxa-gabax park-radarlar və arxa görüntu kamera. Kruiz-kontrol və iki zonali climat kontrol. Daxa boyuk 7 yerli Şkoda Kodiaq almişam, ona görə bunu satiram. Barter təklif etməyin.",37 900 AZN,https://turbo.azstatic.com/uploads/full/2024%2F01%2F07%2F16%2F49%2F37%2F48548442-01de-4c30-8fda-2be19c265bfd%2F3798_O5_zJbSgxJFu_kAufE5dCQ.jpg
Sumqayıt,,Volkswagen,Touareg,2010,Offroader / SUV,Qara,,3.6 L/280 a.g./Benzin,241 000 km,Avtomat,Ön,,,,"Vuruğu yoxdur, rənglənməyib",Elvin,Masin çox yaxşı veziyetde. Servisdi. Her servisdedi qulluq olunub. Problemi qəti yoxdu. Zavot katalizatoruna kimi ustunde. Original probeqdi. Kraskaya ehtiyaci yoxdu. Salon tam seliqeli. Tam full salon. 4cekeni də var. Damı tam panaramadi. Barter de ederem.,25 700 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F09%2F19%2F49%2F42%2F5cd7341c-b38b-49a4-8bd4-6f13d6f80eb3%2F3792_6MbpklSrfgmtWZVpIyjsQg.jpg
Sumqayıt,,LADA (VAZ),2107,1995,Sedan,Ağ,,1.6 L/75 a.g./Benzin,99 000 km,Mexaniki,Arxa,,,,"Vuruğu yoxdur, rənglənməyib",Seyyad,tecili satilir 7 ildi ozumdrdi oz adimadi mator mosd karopqa idyaldi ciruyu pasi yoxdu iki il qabag noldan yigdirmisam,3 700 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F08%2F10%2Faff120fb-b173-44ed-91dd-869409c61cb5%2F3693_21-KkRlAMfY_JPjaQIjkIw.jpg
Bakı,,Opel,Astra,2006,Hetçbek,Yaş Asfalt,,1.4 L/90 a.g./Benzin,250 000 km,Mexaniki,Ön,,,,"Vuruğu yoxdur, rənglənməyib",Bextiyar,Salam mawin -3ildi bizdedi Idal vezyetdedi mator karofka idal yag yeme azalma yoxdu. .vurugu udari yoxdu zavod kuzadi kasmetkaya ehtiyaci yoxdu .kansoneri iwleyir buz kimi peci iwleyir .tekerleri 4 normaldi ya teze deyil ya kohne 1sezon geder .ici seliqelidi sidenikleri tezedi cxola salmiwamki gelenden ki bulawmasin .iwe eve surlen mawindi..satmag meqsedim xariciye kocurem onun icin .tecili satilir real ailciya endirim edecem,11 400 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F12%2F54%2F15%2F8b7b0a44-5501-4517-822c-20f16d137038%2F3791_3c_VpfMNMZ-CoeuP7xxsSA.jpg
Bakı,,Mercedes,E 280,2008,Sedan,Ağ,,3.0 L/190 a.g./Dizel,375 000 km,Avtomat,Arxa,,,0,"Vuruğu yoxdur, rənglənməyib",İsmayıl,"2008 3 Mator Dizel Avangarde Full Salon
Fikri ciddi olmuyan şəxslər narahat etməsin.",23 400 AZN,https://turbo.azstatic.com/uploads/full/2024%2F01%2F24%2F18%2F33%2F27%2F59042221-73b1-49d6-88a5-f75ea2ae3be2%2F3790_fsceoTixt3w10-ShlGOuCA.jpg
Bakı,,Audi,A6,2018,Sedan,Qara,,2.0 L/249 a.g./Benzin,64 000 km,Avtomat,Tam,,,0,"Vuruğu yoxdur, rənglənməyib",Hamid,"S Line Quattro ( Black edition), full , Reng deymeyib
•Audi Servisdə qulluq olunur
•Hava filteri, salon filteri, soyuducu maye, əyləc mayesi, naqladkalar,
motor yağı, yağ filteri, sveça, karopka, arxa ve orta differensial yağı yenicə dəyişdirilib
• teze teker Toyo Sport ( Japan)",33 500 USD,https://turbo.azstatic.com/uploads/full/2023%2F11%2F13%2F15%2F19%2F52%2F7ac2683b-e0c3-411b-9485-b842b719a7d1%2F3605_SqzDbZAB59tkXSCTlWFWPw.jpg
Bakı,,Kia,Optima,2011,Sedan,Ağ,,2.0 L/274 a.g./Benzin,191 000 km,Avtomat,Ön,,,2,"Vuruğu yoxdur, rənglənib",Eldar,Masin hazir kreditdedi lizingde yeni aylig odeniwi 497 azn 24 qalib masin normal veziyetdedi masin cirdalanda olur hergun gundelik surulen masindi 2 turbodu,20 928 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F04%2F49%2F4c2fcf59-6489-4aee-bffe-91916e0ce8ea%2F88078_EBo_x-f1prRslLCWkyE_rw.jpg
